nom	adresse	proprietaireterrain	datemisenservice	datemishorservice	zsol	appartenancegrandlyon	identifiant	gid	lon	lat
GIVORS	STEP de Givors	SYSEG	01/03/2011		155	Oui	32	282	4.79955516570804	45.5723403774766
SEREZIN	Station de relèvement. CD12	Communauté urbaine de Lyon	21/01/1998		159	Oui	21	307	4.81803859290314	45.629394376666
MIONS	Station de pompage du service des eaux de Mions	Communauté urbaine de Lyon	31/12/1984		223.25	Oui	12	309	4.95793521429668	45.6514571068248
ST-GENIS-CHARLY	Route de Charly 69230 ST GENIS LAVAL	Lycée Agricole d'Etat	31/12/1984		270.75	Oui	14	292	4.7897971205209	45.6668382933554
CORBAS	Bassin de rétention de Montmartin. rue du Vercors	Communauté urbaine de Lyon	31/12/1984		200.35	Oui	11	298	4.91367435880599	45.6711785428101
ST FONS	Station d'épuration de Saint FONS 69190 Av des Frères Perret	Communauté urbaine de Lyon			157	Oui	6	285	4.84700330073262	45.6915767788481
SAINT PRIEST	20 rue du Lyonnais 69800 SAINT-PRIEST	Communauté urbaine de Lyon	31/12/1984		198.45	Oui	3	304	4.92212939175282	45.6955271283292
ST-GENIS-PRESSIN	Centre privé d'enseignement agricole de Pressin 69230 ST GENIS LAVAL	Centre privé d'enseignement agricole de Pressin	31/12/1984		260.45	Oui	15	295	4.77936809869251	45.7090661982433
BRON-METEO	Aéroport de Lyon-Satolas Station météorologique	Meteo France	31/12/1984		200.15	Oui	25	284	4.93771108731505	45.7259817913675
BOLLIER	64 rue André Bollier 69007 LYON	Communauté urbaine de Lyon	31/12/1984		163.85	Oui	5	281	4.83169510181363	45.7339454073884
GENAS	Déchèterie Chemin du Grand Mathan	Communauté urbaine de Lyon	31/12/1984		230.25	Oui	10	288	5.00769845500632	45.7443190469269
LYON 5-LES BATTIERES	"Gymnase ""Les Battières"" Avenue Einsenhower 69005 LYON"	Ville de Lyon	31/12/1984		270.75	Oui	24	291	4.78001415043646	45.750175979694
VILLEURBANNE	19 rue Louis Teillon 69100 VILLEURBANNE	Communauté urbaine de Lyon	31/12/1984		186.75	Oui	1	283	4.9184385889745	45.7509576415872
LYON 5-LOYASSE	Cimetière de Loyasse 43 rue Cardinal Gerlier 69005 LYON	Ville de Lyon	31/12/1984		293.25	Oui	13	289	4.81350322193573	45.7625656769837
ST CONSORCE	"Réservoir d'eau ""Reymond"" 42 rt de Marcy 69280 Sainte Consorce"	S.I.D.E.S.O.L. Syndicat Intercomunnal de Distribution d'Eau du Sud Ouest Lyonnais			372	Oui	31	297	4.69730522793412	45.7766085975504
INSA	Rond point du pont Poincaré Villeurbanne	Grand Lyon	01/01/1992		173	Oui	9	293	4.86216271560603	45.7841822663119
MEYZIEU	Station d'épuration rue Dugay Trouin 69330 Meyzieu	Communauté urbaine de Lyon	01/12/1992		187	Oui	30	294	4.99508105069044	45.7915844544051
JONAGE	Station d'épuration de Jonage	Communauté urbaine de Lyon	31/12/1984		185.25	Oui	2	300	5.03546123748629	45.7954955423348
CHAMPAGNE MONT D'OR	Stade municipal René Rollet Rue du Coulevrier	Terrain communal	31/12/1984		286.05	Oui	27	303	4.77326424592159	45.8023637580848
CREPIEUX	station de relevage des eaux	Communauté urbaine de Lyon	01/05/1995		174	Oui	4	305	4.89587917557652	45.8046722227189
LA TOUR SALVAGNY	Caserne de sapeurs-pompiers RN7 LA TOUR DE SALVAGNY	Communauté urbaine de Lyon	31/12/1984		340.45	Oui	18	302	4.71163128504827	45.8154847604135
RILLIEUX	Complexe sportif du Loup Pendu Av de l'hyppodrome 69140 RILLIEUX LA PAPE	Commune de Rillieux	01/03/1987		271.05	Oui	29	290	4.88564670554165	45.8159532758742
COLLONGES MONT D'OR	Stade Edmond Crétin 69660 COLLONGES	Terrain communal de Collonges	31/12/1984		167.85	Oui	19	310	4.84738277875554	45.816921211314
LIMONEST	Lycée agricole du Sandar 69760 LIMONEST	SANDAR	31/12/1984		358.25	Oui	16	286	4.76524728154807	45.8341535950167
COUZON	Station d'épuration de Couzon COUZON AU MONT D'OR	Communauté urbaine de Lyon	31/12/1984		168.25	Oui	8	299	4.83240855934816	45.8466451073585
CAILLOUX	Bassin de rétention . chemin des Rivaux	Communauté urbaine de Lyon	31/12/1984		259.9	Oui	28	301	4.88416220210245	45.848746711718
POLEYMIEUX	Réservoir de Planchamp 69250 POLEYMIEUX	SDEI	31/12/1984		421.05	Oui	17	306	4.80032839900846	45.859279096196
NEUVILLE	Station d'épuration de Neuville  Route de Lyon 69250 FLEURIEU/SAONE	Communauté urbaine de Lyon	31/12/1984		168.75	Oui	7	287	4.83863534256792	45.8674943209731
MONTANAY	Bassin de rétention / infiltration. rue des Echets	Communauté urbaine de Lyon	31/12/1984		292	Oui	26	296	4.87644621142038	45.8803708679445
ST GERMAIN	station d'epuration	Communauté urbaine de Lyon	06/11/1997		171.8	Oui	23	280	4.80501095888901	45.889330077677
QUINCIEUX	step Quincieux		09/05/2017		168.5	Oui	37	308	4.77387390647154	45.9174015422359
